RequestTime,ResponseTime,StatusCode,URL
1701334941549918934,1701334941598158962,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941550322078,1701334941855678410,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941550680453,1701334941855873053,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941550836126,1701334941855724786,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941550916098,1701334941856137872,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941551021848,1701334941635302756,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941551089011,1701334941855954648,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941551280506,1701334941672583598,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941556581798,1701334941974653670,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941603640192,1701334943117786426,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941603720756,1701334943118300611,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941603777648,1701334943118246165,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941603846255,1701334941942364858,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941603913195,1701334943108433007,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941603980526,1701334943108130589,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941604044423,1701334943118240839,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1701334941604096089,1701334943118306380,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
